,job_title,company,job_location,country,location_type,skills,job_link,employment_type
2296,"Windchill developer | 4 to 6 years | Chennai,Bengaluru& Pune",Capgemini,"Chennai, Tamil Nadu",India,Domestic,"['communication', 'agile', 'orm', 'java', 'pd', 'https', 'js', 'go', 'r', 'excel', 'cap', 'os', 'sa', 'ar', 'agile methodology', 'ip', 'sla', 'mvc', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=259db41c1b18707a&fccid=105ecfd0283f415f&vjs=3,Part-time
2297,Staff Software Engineer,Visa,"Bengaluru, Karnataka",India,Domestic,"['marketing', 'agile', 'big data', 'security', 'hadoop', 'orm', 'bi', 'java', 'api', 'ann', 'https', 'js', 'go', 'r', 'excel', 'cap', 'git', 'automation', 'chef', 'os', 'sa', 'ar', 'gui', 'ide', 'scrum', 'spark', 'ip', 'sla', 'tdd', 'docker', 'nat', 'http', 'jenkins', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=24cb5a5d6b7f308a&fccid=a3f737e511d9fc8c&vjs=3,Contract
2298,Team Lead -Angular,In Time Tec,"Jaipur, Rajasthan",India,Domestic,"['communication', 'agile', 'microservices', 'orm', 'bi', 'java', 'api', 'https', 'js', 'go', 'r', 'restful apis', 'git', 'svn', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'sla', 'dl', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=fab950ab1775d878&fccid=e2ca33a849257834&vjs=3,Part-time
2299,Java Fullstack Developer,UBS,"Pune, Maharashtra",India,Domestic,"['communication', 'agile', 'microservices', 'orm', 'bi', 'css', 'sql', 'java', 'api', 'ann', 'cassandra', 'https', 'js', 'go', 'nosql', 'r', 'cap', 'cli', 'os', 'sa', 'ar', 'san', 'javascript', 'ide', 'ml', 'html', 'ip', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=8e57593786458312&fccid=1c76c3a36f6c7557&vjs=3,Part-time
2300,Commodities Risk & PNL UI React Lead Developer,Citi,"Pune, Maharashtra",India,Domestic,"['cd', 'orm', 'bi', 'java', 'api', 'xml', 'https', 'js', 'go', 'data visualization', 'r', 'sales', 'os', 'sa', 'data streaming', 'ar', 'gui', 'javascript', 'ide', 'ml', 'html', 'ip', 'json', 'dl', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=fd2f647f2ec43848&fccid=5bcd1ef0a7f4fb99&vjs=3,Internship
2301,Sr. PHP Developer,Jobwilling,Remote,India,Domestic,"['oauth2', 'security', 'orm', 'oauth', 'css', 'sql', 'java', 'rdbms', 'api', 'https', 'js', 'go', 'dbms', 'r', 'git', 'os', 'sa', 'ar', 'gui', 'javascript', 'ide', 'python', 'ml', 'html', 'ip', 'nat', 'http', 'base']",https://www.indeed.co.in/rc/clk?jk=b6e0ce4b99c5a509&fccid=dd616958bd9ddc12&vjs=3,Contract
2302,GIS Developer with Node.js background -Remote,TeamPlus Staffing Solution Pvt Ltd,Remote,India,Domestic,"['sql', 'https', 'js', 'go', 'r', 'os', 'sa', 'ar', 'python', 'ip', 'http']",https://www.indeed.co.in/rc/clk?jk=8dbb3f4ee700309e&fccid=ca2f37dcc1820233&vjs=3,Full-time
2303,Senior Front End Developer - Tribal,TMI Group IN,"Bengaluru, Karnataka",India,Domestic,"['aws', 'orm', 'css', 'identity and access management', 'java', 'api', 'https', 'js', 'go', 'api gateway', 'r', 'serverless', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'nat', 'http']",https://www.indeed.co.in/rc/clk?jk=45c3b702e03a5906&fccid=68d10d8c57f0b648&vjs=3,Contract
2304,"Web Development, Full Stack Developer",Della Group,"Mumbai, Maharashtra",India,Domestic,"['communication', 'orm', 'bi', 'css', 'sql', 'java', 'api', 'https', 'js', 'go', 'r', 'excel', 'os', 'sa', 'ar', 'javascript', 'ide', 'project management', 'python', 'ml', 'html', 'ip', 'http', 'ai', 'attention to detail', 'base']",https://www.indeed.co.in/rc/clk?jk=90272c97dffec19a&fccid=5b281a1ae62d9bbf&vjs=3,Full-time
2305,Software Developer II,S&P Global,"Mumbai, Maharashtra",India,Domestic,"['communication', 'decision making', 'orm', 'bi', 'presentation skills', 'cross-functional teams', 'css', 'java', 'api', 'ann', 'pd', 'teamwork', 'https', 'js', 'problem solving', 'go', 'research', 'r', 'excel', 'workforce planning', 'cap', 'restful apis', 'git', 'interpersonal skills', 'cli', 'svn', 'os', 'sa', 'ar', 'critical thinking', 'javascript', 'ide', 'ml', 'html', 'ip', 'sla', 'mvc', 'dl', 'nat', 'http', 'ai', 'attention to detail', 'base']",https://www.indeed.co.in/rc/clk?jk=1428857eff6f7470&fccid=b716e44d2c6283e7&vjs=3,Contract
2306,Mid Front End Developer - OMT,TMI Group IN,"Bengaluru, Karnataka",India,Domestic,"['communication', 'agile', 'orm', 'css', 'java', 'jira', 'https', 'js', 'go', 'vr', 'r', 'excel', 'serverless', 'git', 'os', 'sa', 'ar', 'javascript', 'ml', 'scrum', 'html', 'ip', 'nat', 'http']",https://www.indeed.co.in/rc/clk?jk=ff04ea648c2bfec8&fccid=68d10d8c57f0b648&vjs=3,Full-time
2307,"Senior Software Developer - React, AWS, DevOps",Pyramid Global Technologies,"Mohali, Punjab",India,Domestic,"['cd', 'aws', 'security', 'prometheus', 'orm', 'bi', 'elk stack', 'infrastructure as code', 'https', 'kubernetes', 'js', 'go', 'r', 'serverless', 'os', 'sa', 'ar', 'monitoring', 'ci/cd', 'bdd', 'ip', 'tdd', 'docker', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=491437217a89f26d&fccid=00d4d1f9ab402961&vjs=3,Temporary
2308,React Developer,Black & White Business Solutions,"Bengaluru, Karnataka",India,Domestic,"['communication', 'orm', 'elk stack', 'css', 'java', 'api', 'https', 'js', 'go', 'r', 'organizational skills', 'os', 'sa', 'ar', 'javascript', 'python', 'ip', 'nat', 'http']",https://www.indeed.co.in/rc/clk?jk=3a6faf25720d58d9&fccid=d45b4da03ec41f76&vjs=3,Temporary
2309,React and Node JS (RM 726),Source-right,India,India,Domestic,"['https', 'js', 'go', 'r', 'os', 'sa', 'ar', 'ip', 'http']",https://www.indeed.co.in/rc/clk?jk=bc43fec430676595&fccid=83f459d123058589&vjs=3,Part-time
2310,Technical Lead,Nokia,"Chennai, Tamil Nadu",India,Domestic,"['communication', 'leadership', 'agile', 'unix', 'security', 'orm', 'bi', 'scripting', 'java', 'https', 'kubernetes', 'linux', 'js', 'go', 'r', 'organizational skills', 'cap', 'git', 'svn', 'os', 'sa', 'shell scripting', 'ar', 'mentoring', 'monitoring', 'ide', 'python', 'ml', 'html', 'ip', 'dl', 'docker', 'nat', 'http', 'jenkins', 'ai']",https://www.indeed.co.in/rc/clk?jk=af2e425ae3d1b7db&fccid=3444e7c94299ba32&vjs=3,Part-time
2311,React Native Developer,Persystent Consultancy Services,"Noida, Uttar Pradesh",India,Domestic,"['mobile development', 'agile', 'orm', 'bi', 'cv', 'api', 'https', 'linux', 'js', 'go', 'r', 'azure', 'os', 'sa', 'ar', 'scrum', 'ip', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=438d199dd8566326&fccid=aad9a3fb8261aada&vjs=3,Internship
2312,Full Stack Web Developer,TMI Group IN,"Hyderabad, Telangana",India,Domestic,"['aws', 'orm', 'bi', 'css', 'sql', 'java', 'api', 'gcp', 'https', 'js', 'go', 'vr', 'r', 'git', 'azure', 'cli', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'nat', 'http']",https://www.indeed.co.in/rc/clk?jk=1c2e5d28c88c6d0f&fccid=68d10d8c57f0b648&vjs=3,Contract
2313,UI - React.Js Developer-4 to 8Years- Mumbai / Bangalore,Black & White Business Solutions,"Bengaluru, Karnataka",India,Domestic,"['communication', 'orm', 'bi', 'css', 'java', 'xml', 'https', 'js', 'go', 'unit testing', 'r', 'excel', 'interpersonal skills', 'os', 'sa', 'ar', 'javascript', 'ml', 'html', 'ip', 'json', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=0c2e969e5457547d&fccid=d45b4da03ec41f76&vjs=3,Full-time
2314,"Software Engineer, Java",Williams Sonoma,India,India,Domestic,"['communication', 'cd', 'agile', 'microservices', 'orm', 'bi', 'scripting', 'sql', 'java', 'code quality', 'https', 'js', 'go', 'nosql', 'research', 'unit testing', 'selenium', 'r', 'git', 'azure', 'svn', 'os', 'sa', 'ar', 'javascript', 'ide', 'continuous delivery', 'scrum', 'bdd', 'ip', 'dl', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=fa2a708fd8cbfac4&fccid=cdd85c4d445cce0f&vjs=3,Contract
2315,Senior Data Engineer,Visa,"Bengaluru, Karnataka",India,Domestic,"['marketing', 'agile', 'big data', 'hadoop', 'orm', 'bi', 'java', 'api', 'ann', 'https', 'js', 'go', 'r', 'excel', 'cap', 'git', 'automation', 'chef', 'os', 'sa', 'ar', 'gui', 'ide', 'scrum', 'spark', 'ip', 'sla', 'docker', 'nat', 'http', 'jenkins', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=a19e1f9c4a897023&fccid=a3f737e511d9fc8c&vjs=3,Internship
2316,Mean Stack Developer,TMI Group IN,"Chennai, Tamil Nadu",India,Domestic,"['cd', 'security', 'orm', 'bi', 'java', 'saas', 'https', 'linux', 'js', 'go', 'network monitoring', 'r', 'git', 'os', 'sa', 'ar', 'monitoring', 'javascript', 'ide', 'python', 'ml', 'html', 'ip', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=8d49dd33fc5963a8&fccid=68d10d8c57f0b648&vjs=3,Internship
2317,Senior Front Developer - OMT,TMI Group IN,"Bengaluru, Karnataka",India,Domestic,"['communication', 'agile', 'orm', 'css', 'java', 'jira', 'https', 'js', 'go', 'r', 'excel', 'serverless', 'git', 'os', 'sa', 'ar', 'javascript', 'ml', 'scrum', 'html', 'ip', 'nat', 'http']",https://www.indeed.co.in/rc/clk?jk=ed6223bd27c05c19&fccid=68d10d8c57f0b648&vjs=3,Temporary
2318,"Senior Consultant, Development",Infogain,"Bengaluru, Karnataka",India,Domestic,"['cd', 'nas', 'agile', 'microservices', 'orm', 'bi', 'cross-functional teams', 'css', 'java', 'https', 'graphql', 'js', 'go', 'unit testing', 'r', 'excel', 'cap', 'git', 'azure', 'automation', 'os', 'sa', 'ar', 'javascript', 'ide', 'scrum', 'ip', 'nat', 'http', 'iot', 'ai', 'artificial intelligence', 'base']",https://www.indeed.co.in/rc/clk?jk=43aead39119c0d0a&fccid=3c566800dc2b9808&vjs=3,Temporary
2319,Software Engineer - Java/UI,Institutional Shareholder Services,"Mumbai, Maharashtra",India,Domestic,"['cd', 'agile', 'orm', 'bi', 'css', 'sql', 'java', 'api', 'https', 'js', 'go', 'research', 'r', 'collaboration', 'cap', 'cli', 'svn', 'os', 'sa', 'ar', 'ide', 'ml', 'html', 'ip', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=1eb1a66b9e21ca67&fccid=c15e58c229888ed7&vjs=3,Full-time
2320,Dotnet Developer,TIGI HR SOLUTION,"Mumbai, Maharashtra",India,Domestic,"['asynchronous programming', 'aws', 'orm', 'css', 'sql', 'java', 'api', 'https', 'js', 'go', 'r', 'os', 'sa', 'ar', 'javascript', 'ml', 'html', 'ip', 'mvc', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=e5dd45b0eca2361a&fccid=6d7701539345c145&vjs=3,Internship
2321,Solution Integrator - Production Support,Ericsson,"Noida, Uttar Pradesh",India,Domestic,"['communication', 'agile', 'bi', 'scripting', 'css', 'sql', 'java', 'mr', 'https', 'kubernetes', 'linux', 'js', 'go', 'selenium', 'r', 'git', 'automation', 'cli', 'os', 'sa', 'ar', 'version control', 'ide', 'python', 'agile methodology', 'defi', 'kpi', 'ip', 'sla', 'operating system', 'dl', 'docker', 'nat', 'creativity', 'http', 'rust', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=df9a88833825a3b4&fccid=82656d64a9a3e6a7&vjs=3,Temporary
2322,Experienced Full Stack Developer - Cloud and Java,BOEING,"Bengaluru, Karnataka",India,Domestic,"['communication', 'cd', 'leadership', 'agile', 'security', 'orm', 'bi', 'presentation skills', 'cicd', 'java', 'api', 'https', 'kubernetes', 'linux', 'js', 'problem solving', 'go', 'research', 'r', 'collaboration', 'excel', 'git', 'azure', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'scrum', 'html', 'ip', 'json', 'dl', 'nat', 'creativity', 'http', 'rust', 'jenkins', 'iot', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=80b3d8db18ab1a87&fccid=edae4285faf6c2f0&vjs=3,Full-time
2323,Application Developer: Microsoft Cloud,IBM,"Hyderabad, Telangana",India,Domestic,"['agile', 'blockchain', 'orm', 'bi', 'hybrid cloud', 'software architecture', 'oauth', 'sql', 'api', 'https', 'js', 'problem solving', 'go', 'api gateway', 'r', 'collaboration', 'cap', 'serverless', 'azure', 'paas', 'cli', 'os', 'sa', 'time management', 'ar', 'gui', 'ide', 'quantum computing', 'elasticsearch', 'event sourcing', 'ip', 'sla', 'dl', 'nat', 'http', 'rust', 'ai', 'artificial intelligence', 'base']",https://www.indeed.co.in/rc/clk?jk=f1b078a775b7ac9f&fccid=de71a49b535e21cb&vjs=3,Contract
2324,Application Developer: Microsoft .NET Stack,IBM,"Kochi, Kerala",India,Domestic,"['cd', 'rpc', 'agile', 'blockchain', 'microservices', 'security', 'orm', 'bi', 'hybrid cloud', 'sql', 'api', 'https', 'kubernetes', 'graphql', 'js', 'go', 'client engagement', 'r', 'collaboration', 'cap', 'git', 'azure', 'interpersonal skills', 'cli', 'os', 'sa', 'time management', 'ar', 'ide', 'quantum computing', 'ci/cd', 'devsecops', 'ml', 'ip', 'sla', 'mvc', 'docker', 'nat', 'http', 'rust', 'ai', 'artificial intelligence']",https://www.indeed.co.in/rc/clk?jk=f3b950a3afff2705&fccid=de71a49b535e21cb&vjs=3,Part-time
2325,Senior Software Engineer- .Net React JS,,"Hyderabad, Telangana",India,Domestic,"['microservices', 'orm', 'bi', 'sql', 'java', 'api', 'https', 'js', 'go', 'vr', 'r', 'excel', 'git', 'cli', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'mvc', 'http', 'rust', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=d36cf6c364baec99&fccid=dd616958bd9ddc12&vjs=3,Temporary
2326,Staff Software Engineer (Backend),Visa,"Bengaluru, Karnataka",India,Domestic,"['marketing', 'agile', 'big data', 'security', 'hadoop', 'orm', 'bi', 'java', 'api', 'ann', 'https', 'js', 'go', 'r', 'excel', 'cap', 'git', 'automation', 'chef', 'os', 'sa', 'ar', 'gui', 'ide', 'scrum', 'spark', 'ip', 'sla', 'tdd', 'docker', 'nat', 'http', 'jenkins', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=0f50a68d1a8c47c5&fccid=a3f737e511d9fc8c&vjs=3,Internship
2327,Senior Software Engineer - Full Stack (.Net MVC / Angular),ICON,"Chennai, Tamil Nadu",India,Domestic,"['agile', 'orm', 'bi', 'sql', 'api', 'ann', 'pd', 'https', 'js', 'go', 'research', 'r', 'excel', 'cap', 'mentorship', 'interpersonal skills', 'cli', 'os', 'sa', 'ar', 'mentoring', 'gui', 'ide', 'scrum', 'ip', 'mvc', 'nat', 'http', 'iot', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=96f3a68f5289adf2&fccid=6c527578251bc5e1&vjs=3,Internship
2328,"Sr. SW Engineer - (Full Stack, Java, Angular)",Visa,"Bengaluru, Karnataka",India,Domestic,"['communication', 'agile', 'microservices', 'unix', 'security', 'orm', 'bi', 'css', 'sql', 'java', 'containerization', 'https', 'linux', 'js', 'problem solving', 'go', 'unit testing', 'r', 'excel', 'cap', 'git', 'automation', 'svn', 'os', 'sa', 'ar', 'version control', 'mentoring', 'gui', 'ide', 'ml', 'defi', 'html', 'ip', 'sla', 'mvc', 'dl', 'nat', 'http', 'jenkins', 'ai', 'attention to detail', 'base']",https://www.indeed.co.in/rc/clk?jk=8d799aeae71ba6c8&fccid=a3f737e511d9fc8c&vjs=3,Internship
2329,Senior Software Engineer (Java/Node Js & Angular),Baker Hughes,"Pune, Maharashtra",India,Domestic,"['coaching', 'microservices', 'orm', 'bi', 'work-life balance', 'sql', 'java', 'code quality', 'https', 'js', 'go', 'nosql', 'unit testing', 'r', 'excel', 'git', 'automation', 'os', 'sa', 'ar', 'javascript', 'ide', 'defi', 'ip', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=dc91a033a437375f&fccid=f4c6ba597fc7aa75&vjs=3,Internship
2330,"Staff Software Engineer - (Full stack, Java, Angular)",Visa,"Bengaluru, Karnataka",India,Domestic,"['communication', 'agile', 'microservices', 'unix', 'security', 'hadoop', 'orm', 'bi', 'sql', 'java', 'api', 'ann', 'https', 'linux', 'js', 'go', 'research', 'r', 'cap', 'git', 'automation', 'cli', 'os', 'sa', 'ar', 'gui', 'facilitation', 'javascript', 'ide', 'elasticsearch', 'defi', 'continuous delivery', 'spark', 'ip', 'sla', 'mvc', 'dl', 'nat', 'http', 'jenkins', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=136ca5a4cc809b3b&fccid=a3f737e511d9fc8c&vjs=3,Temporary
2331,AP/SAP,,"Gurgaon, Haryana",India,Domestic,"['communication', 'cd', 'agile', 'aws', 'unix', 'terraform', 'orm', 'bi', 'scripting', 'css', 'sql', 'java', 'rdbms', 'api', 'ann', 'cassandra', 'xml', 'https', 'js', 'go', 'nosql', 'dbms', 'selenium', 'r', 'excel', 'cap', 'git', 'automation', 'cli', 'svn', 'os', 'sa', 'shell scripting', 'ar', 'san', 'monitoring', 'ide', 'ci/cd', 'ml', 'html', 'ip', 'mvc', 'json', 'tdd', 'dl', 'nat', 'http', 'jenkins', 'ai', 'multithreading', 'base', 'redis']",https://www.indeed.co.in/rc/clk?jk=4e999641e4156f86&fccid=dd616958bd9ddc12&vjs=3,Full-time
2332,backend developer dcf,Randstad,"Bengaluru, Karnataka",India,Domestic,"['cd', 'agile', 'sql', 'https', 'js', 'go', 'unit testing', 'r', 'cli', 'os', 'sa', 'ar', 'mentoring', 'gui', 'ide', 'ml', 'scrum', 'html', 'ip', 'mvc', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=a0c8d64fad383906&fccid=f8b265243da9f9d7&vjs=3,Temporary
2333,AP/SAP,Fidelity International,"Gurgaon, Haryana",India,Domestic,"['communication', 'cd', 'agile', 'aws', 'unix', 'terraform', 'orm', 'bi', 'scripting', 'css', 'sql', 'java', 'rdbms', 'api', 'ann', 'cassandra', 'xml', 'https', 'js', 'go', 'nosql', 'dbms', 'selenium', 'r', 'excel', 'cap', 'git', 'automation', 'cli', 'svn', 'os', 'sa', 'shell scripting', 'ar', 'san', 'monitoring', 'ide', 'ci/cd', 'ml', 'html', 'ip', 'mvc', 'json', 'tdd', 'dl', 'nat', 'http', 'jenkins', 'ai', 'multithreading', 'base', 'redis']",https://www.indeed.co.in/rc/clk?jk=a127ed7a5ca9af0c&fccid=b968b58ad5fb8d16&vjs=3,Temporary
2334,UI Developer,Nimesa Technologies,"Bengaluru, Karnataka",India,Domestic,"['aws', 'orm', 'bi', 'css', 'java', 'ann', 'https', 'js', 'go', 'r', 'collaboration', 'excel', 'sa', 'ar', 'gui', 'javascript', 'ide', 'ml', 'html', 'ip', 'dl', 'nat', 'http']",https://www.indeed.co.in/company/Nimesa-Technologies/jobs/Ui-Developer-7539f9915ac7eded?fccid=abf9be65fda050fe&vjs=3,Part-time
2335,EbizON || HTML Developer || Noida,Ebizon,"Noida, Uttar Pradesh",India,Domestic,"['marketing', 'cd', 'orm', 'bi', 'css', 'customer service', 'java', 'saas', 'ann', 'teamwork', 'https', 'js', 'go', 'r', 'excel', 'cap', 'git', 'cli', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'dl', 'nat', 'creativity', 'http', 'base']",https://www.indeed.co.in/rc/clk?jk=7d72e1062d19aed5&fccid=5e795dbcdc18d0d8&vjs=3,Full-time
2336,12 Node JS Developer– Job Code(ND -84),UVJ Technologies,"Kochi, Kerala",India,Domestic,"['asynchronous programming', 'bi', 'css', 'java', 'pd', 'https', 'js', 'go', 'r', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'nat', 'http', 'ai']",https://www.indeed.co.in/rc/clk?jk=4818829d958fb7c7&fccid=d1c3e6e342c9eef7&vjs=3,Internship
2337,ReactJS Developer,Sure4job Manpower Solutions,"Mumbai, Maharashtra",India,Domestic,"['cd', 'bi', 'css', 'https', 'js', 'go', 'r', 'cap', 'cli', 'sa', 'ar', 'ide', 'ml', 'html', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/company/Sure4job-Manpower-solutions/jobs/Reactj-Developer-917fe84cbcd614b8?fccid=e8d2ed5aa4ada8a2&vjs=3,Full-time
2338,Web Designer & Developer,KalaTech Design and Web Solutions,"Fatehgunj, Vadodara, Gujarat",India,Domestic,"['communication', 'orm', 'bi', 'css', 'sql', 'java', 'ann', 'https', 'js', 'go', 'r', 'excel', 'sa', 'ar', 'gui', 'javascript', 'ide', 'vm', 'ml', 'html', 'ip', 'mvc', 'http', 'ai']",https://www.indeed.co.in/company/KalaTech-Design-and-Web-Solutions/jobs/Web-Designer-Developer-fdec4c9f90843542?fccid=fe47a9ae020e9544&vjs=3,Full-time
2339,Web Designer & Developer,Furniture BoutiQ Private Limited,"Jodhpur, Rajasthan",India,Domestic,"['orm', 'bi', 'ann', 'https', 'js', 'go', 'r', 'sa', 'ar', 'ide', 'dl', 'http']",https://www.indeed.co.in/company/Furniture-BoutiQ-Private-Limited/jobs/Web-Designer-Developer-089a01ef075fa4e6?fccid=6318d341436191fc&vjs=3,Temporary
2340,Angular Developer,Nexus pro services,"Bengaluru, Karnataka",India,Domestic,"['cd', 'agile', 'bi', 'css', 'api', 'ann', 'https', 'js', 'go', 'r', 'git', 'sa', 'ar', 'ide', 'ci/cd', 'ml', 'html', 'ip', 'dl', 'nat', 'http', 'ai']",https://www.indeed.co.in/company/Nexus-pro-services/jobs/Angular-Developer-11318ba151cc5ac4?fccid=2c6aab58476722eb&vjs=3,Part-time
2341,Web Developer,JprCorp Exporting and Importing company,"Pathanamthitta, Kerala",India,Domestic,"['cd', 'orm', 'bi', 'ann', 'https', 'js', 'go', 'r', 'git', 'sa', 'ar', 'http']",https://www.indeed.co.in/company/JprCorp-Exporting-and-Importing-company/jobs/Web-Developer-0266d1827cd38a6f?fccid=a7b810e4cf1ccf88&vjs=3,Internship
2342,React Developer,Samphire IT Solutions,"Noida, Uttar Pradesh",India,Domestic,"['security', 'orm', 'bi', 'java', 'ann', 'pd', 'https', 'js', 'go', 'r', 'cap', 'editing', 'os', 'sa', 'ar', 'monitoring', 'javascript', 'ide', 'ip', 'nat', 'http', 'ai', 'base']",https://www.indeed.co.in/company/Samphire-IT-Solutions/jobs/React-Developer-62ad34b1432b4596?fccid=805b2b92b62d38a5&vjs=3,Contract
2343,Frontend Mid Engineer,NielsenIQ,"Chennai, Tamil Nadu",India,Domestic,"['cd', 'agile', 'automated testing', 'orm', 'bi', 'scripting', 'css', 'sql', 'java', 'pd', 'https', 'kubernetes', 'js', 'go', 'nosql', 'unit testing', 'r', 'cap', 'azure', 'diversity and inclusion', 'cli', 'os', 'sa', 'shell scripting', 'ar', 'javascript', 'ide', 'nosql databases', 'ml', 'html', 'ip', 'dl', 'docker', 'nat', 'http', 'rust', 'jenkins', 'ai', 'base']",https://www.indeed.co.in/rc/clk?jk=1521b33c7d85165e&fccid=c172deadb7fe7cb3&vjs=3,Internship
2344,Front End Developer,OptimumBrew Technology,"Katargam, Surat, Gujarat",India,Domestic,"['communication', 'orm', 'bi', 'css', 'java', 'api', 'ann', 'https', 'js', 'go', 'research', 'r', 'cli', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'nat', 'http', 'ai']",https://www.indeed.co.in/company/Optimumbrew-Technology/jobs/Front-End-Developer-8e7709c9fae5c667?fccid=6e4e6ff0033cba47&vjs=3,Internship
2345,Front End Developer,FreshBox Media Pvt Ltd,"Mumbai, Maharashtra",India,Domestic,"['orm', 'bi', 'css', 'java', 'ann', 'pd', 'https', 'js', 'go', 'r', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'json', 'http', 'ai']",https://www.indeed.co.in/company/FreshBox-Media-Pvt-Ltd/jobs/Front-End-Developer-8b0115c81b46b07c?fccid=8be1b6fa35a260e5&vjs=3,Contract
2346,Full Stack Web Developer,HAASH INDIA EXPORTS PVT LTD,"Calicut, Kerala",India,Domestic,"['marketing', 'bi', 'ann', 'https', 'js', 'go', 'r', 'git', 'sa', 'ar', 'dl', 'http']",https://www.indeed.co.in/company/HAASH-INDIA-EXPORTS-PVT-LTD/jobs/Full-Stack-Web-Developer-2c8455a2402445df?fccid=7c29c3bbd42a736e&vjs=3,Temporary
2347,ReactJS Developer,Dazzlelect,"Pune, Maharashtra",India,Domestic,"['cd', 'orm', 'bi', 'css', 'java', 'jira', 'https', 'js', 'go', 'r', 'sales', 'git', 'azure', 'cli', 'salesforce', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'http']",https://www.indeed.co.in/company/Dazzlelect/jobs/Reactj-Developer-d8cd9d712fc8dbcc?fccid=73aac017a4cf0729&vjs=3,Full-time
2348,Web Developer,Mahe Technologies Pvt. Ltd.,"Kolkata, West Bengal",India,Domestic,"['cd', 'orm', 'bi', 'ann', 'https', 'js', 'go', 'r', 'excel', 'sa', 'ar', 'ip', 'http', 'ai', 'base']",https://www.indeed.co.in/company/Mahe-Technologies-Pvt.-Ltd./jobs/Web-Developer-71cd15021df1f78a?fccid=185a7f0ce0224e95&vjs=3,Full-time
2349,Web Developer Intern,Prism Adverto Private Limited,"Coimbatore, Tamil Nadu",India,Domestic,"['marketing', 'communication', 'orm', 'bi', 'cross-functional teams', 'css', 'java', 'ann', 'https', 'js', 'go', 'r', 'os', 'ar', 'javascript', 'ide', 'python', 'ml', 'html', 'ip', 'nat', 'http', 'ai', 'attention to detail']",https://www.indeed.co.in/company/Prism-Adverto-Private-Limited/jobs/Web-Developer-Intern-503bfb8700d6dbe7?fccid=5ee5e7b795e3ac79&vjs=3,Contract
2350,Front End Developer,Variation Tecruite Pvt Ltd,"Delhi, Delhi",India,Domestic,"['bi', 'css', 'ann', 'https', 'js', 'go', 'r', 'sa', 'ar', 'ml', 'html', 'http', 'ai']",https://www.indeed.co.in/company/Variation-Tecruite-Pvt-Ltd/jobs/Front-End-Developer-e440eb541d04c836?fccid=a6d664b61c1c7a8e&vjs=3,Part-time
2351,Front End Developer,Dight infotech,"Mohali, Punjab",India,Domestic,"['communication', 'orm', 'bi', 'css', 'java', 'cv', 'ann', 'https', 'js', 'go', 'r', 'excel', 'os', 'sa', 'ar', 'javascript', 'ide', 'ml', 'html', 'ip', 'nat', 'http', 'ai']",https://www.indeed.co.in/company/dightinfotech/jobs/Front-End-Developer-9ee17a615c3ec02c?fccid=28bb78dedf398f96&vjs=3,Contract
